lugar;delito;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
baleares;5.2.2.-Robos con fuerza en viviendas;2,044;1,937;2,174;1,921;1,857;2,598;3,067;3,125;3,104;3,323;3,608;3,540;4,337;2,921;3,476
baleares;5.2.3.-Robos con fuerza en establecimientos;775;738;748;725;748;965;1,030;1,145;1,138;1,042;1,027;1,300;1,346;1,945;2,468
baleares;5.3.-Robos con violencia o intimidacion;1,423;1,519;1,272;896;749;1,314;1,230;1,354;1,186;1,069;1,217;1,319;1,585;1,608;1,476
baleares;5.3.1.-Robos con violencia en via pública;938;994;811;571;465;843;771;899;721;652;769;851;1,031;939;1,031
baleares;5.3.2.-Robos con violencia en viviendas;89;82;88;79;72;85;89;68;78;61;89;78;101;82;73
baleares;5.3.3.-Robos con violencia en establecimientos;217;228;167;118;113;164;157;186;175;141;150;169;190;156;189
baleares;5.4.-Sustraccion de vehiculos;1,724;1,832;1,564;1,073;1,021;1,429;1,432;1,717;1,925;1,770;1,445;1,582;1,650;1,861;1,970
baleares;5.5.-Estafas;13,834;13,522;11,589;10,035;15,850;13,091;9,821;6,699;5,028;4,744;3,651;3,221;3,177;2,826;2,634
baleares;5.5.1.-Estafas informaticas;11,491;10,299;7,452;7,005;10,879;7,702;5,491;3,156;2,113;2,264;1,304;1,049;956;749;546
baleares;5.6.-Danos;5,164;4,912;5,284;5,010;4,596;5,625;5,479;5,290;5,064;4,994;4,949;4,821;5,391;5,573;5,763
baleares;5.7.-Contra la propiedad intelectual/industrial;102;89;72;74;31;133;109;77;91;116;140;113;83;79;89
baleares;5.8.-Blanqueo de capitales;12;7;9;4;8;8;5;4;4;8;6;4;4;10;10
baleares;5.9.-Otros contra el patrimonio;2,300;2,280;2,099;1,923;1,730;2,207;2,128;2,139;1,862;1,773;1,800;1,646;1,164;965;979
canarias;1. CONTRA LAS PERSONAS;15,285;15,210;13,601;12,465;11,643;12,396;11,805;11,744;11,021;15,540;19,560;19,224;19,993;21,243;21,268
canarias;1.1.-Homicidios dolosos/asesinatos;62;77;60;53;54;64;66;56;65;64;55;50;55;58;61
canarias;1.1.1.-Homicidios dolosos/asesinatos consumados;14;17;13;16;12;20;25;20;21;20;12;13;15;17;17
canarias;1.2.-Lesiones;7,854;7,847;7,038;6,534;5,938;6,922;6,629;6,892;6,370;6,409;6,075;6,408;6,839;6,839;7,562
canarias;1.3.-Malos tratos ambito familiar;6,789;6,765;6,060;5,498;5,333;5,042;4,775;4,650;4,487;4,346;3,927;4,024;3,935;4,109;3,512
canarias;1.4.-Otros contra las personas;580;521;443;380;318;368;335;146;99;4,721;9,503;8,742;9,164;10,237;10,133
canarias;2. CONTRA LA LIBERTAD;11,245;11,181;9,960;10,102;9,855;9,328;8,955;8,825;8,344;5,244;2,014;2,103;1,983;2,228;2,133
canarias;2.1.-Malos tratos habituales en el ambito familiar;1,098;1,078;841;910;852;850;713;751;695;681;681;708;700;811;967
canarias;2.2.-Otros contra la libertad;10,147;10,103;9,119;9,192;9,003;8,478;8,242;8,074;7,649;4,563;1,333;1,395;1,283;1,417;1,166
canarias;3. LIBERTAD SEXUAL;1,336;1,189;1,148;946;875;907;750;625;530;506;446;469;525;529;598
canarias;3.1.-Agresion sexual;894;750;748;612;509;591;462;350;318;286;282;285;325;306;283
canarias;3.2.-Agresion sexual con penetracion;241;221;234;177;169;117;149;122;76;101;63;78;73;93;165
canarias;3.3.-Corrupcion de menores o incapacitados;24;31;19;11;42;34;8;25;23;31;15;14;30;24;29
